           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2           0
           7         1.2         1.2 7.96501e-09
           8         1.2         1.2           0
           9         1.2         1.2           0
          10         1.2         1.2  8.1617e-09
          11         1.2         1.2 7.78188e-09
          12         1.2         1.2 7.45058e-09
          13         1.2         1.2 9.24131e-09
          14         1.2         1.2 8.90515e-09
          15         1.2         1.2 8.60319e-09
          16         1.2         1.2    8.33e-09
          17         1.2         1.2 8.08129e-09
          18         1.2         1.2  7.8536e-09
          19         1.2         1.2 7.64413e-09
          20         1.2         1.2 7.45058e-09
          21         1.2         1.2 7.27102e-09
          22         1.2         1.2 8.98574e-09
          23         1.2         1.2 8.78823e-09
          24         1.2         1.2 8.60319e-09
          25         1.2         1.2 8.42937e-09
          26         1.2         1.2 8.26568e-09
          27         1.2         1.2 8.11116e-09
          28         1.2         1.2 7.96501e-09
          29         1.2         1.2 7.82647e-09
          30         1.2         1.2 7.69493e-09
          31         1.2         1.2  7.5698e-09
          32         1.2         1.2 7.45058e-09
          33         1.2         1.2 7.33682e-09
          34         1.2         1.2 7.22812e-09
          35         1.2         1.2 7.12412e-09
          36         1.2         1.2 7.02447e-09
          37         1.2         1.2  6.9289e-09
          38         1.2         1.2 6.83712e-09
          39         1.2         1.2  6.7489e-09
          40         1.2         1.2   6.664e-09
          41         1.2         1.2 6.58223e-09
          42         1.2         1.2  6.5034e-09
          43         1.2         1.2 6.42733e-09
          44         1.2         1.2 6.35388e-09
          45         1.2         1.2 6.28288e-09
          46         1.2         1.2 6.21421e-09
          47         1.2         1.2 6.52067e-09
          48         1.2         1.2 6.80142e-09
          49         1.2         1.2 6.73166e-09
          50         1.2         1.2 6.98926e-09
          51         1.2         1.2  6.9204e-09
          52         1.2         1.2 7.15829e-09
          53         1.2         1.2 7.09043e-09
          54         1.2         1.2 7.31131e-09
          55         1.2         1.2 7.24453e-09
          56         1.2         1.2 7.45058e-09
          57         1.2         1.2 7.38494e-09
          58         1.2         1.2 7.57795e-09
          59         1.2         1.2 7.51346e-09
          60         1.2         1.2 7.69493e-09
          61         1.2         1.2 7.63159e-09
          62         1.2         1.2  7.5698e-09
          63         1.2         1.2 7.74059e-09
          64         1.2         1.2 7.67988e-09
          65         1.2         1.2 7.62058e-09
          66         1.2         1.2 7.78188e-09
          67         1.2         1.2 7.72359e-09
          68         1.2         1.2 7.66658e-09
          69         1.2         1.2 7.81938e-09
          70         1.2         1.2 7.76333e-09
          71         1.2         1.2 7.70846e-09
          72         1.2         1.2 7.65474e-09
          73         1.2         1.2 7.79962e-09
          74         1.2         1.2 7.74674e-09
          75         1.2         1.2 7.69493e-09
          76         1.2         1.2 7.64413e-09
          77         1.2         1.2 7.78188e-09
          78         1.2         1.2 7.73183e-09
          79         1.2         1.2 7.68274e-09
          80         1.2         1.2 7.63457e-09
          81         1.2         1.2 7.76585e-09
          82         1.2         1.2 7.71835e-09
          83         1.2         1.2 7.67171e-09
          84         1.2         1.2 7.62591e-09
          85         1.2         1.2 7.58092e-09
          86         1.2         1.2  7.7061e-09
          87         1.2         1.2 7.66169e-09
          88         1.2         1.2 7.61803e-09
          89         1.2         1.2 7.57511e-09
          90         1.2         1.2 7.53291e-09
          91         1.2         1.2 7.65253e-09
          92         1.2         1.2 7.61083e-09
          93         1.2         1.2  7.5698e-09
          94         1.2         1.2 7.52942e-09
          95         1.2         1.2 7.48969e-09
          96         1.2         1.2 7.45058e-09
          97         1.2         1.2 7.41208e-09
          98         1.2         1.2 7.52622e-09
          99         1.2         1.2 7.48812e-09
         100         1.2         1.2 7.45058e-09
